type,name,label,hint,required,appearance,relevant,calculation,$given_name
text,desc_spat_char,Describe spatial configuration,,false,multiline,,,
select_one if8go18,kin_ind_present,Kinematic indicators present?,,false,horizontal-compact,,,
select_multiple lw8uh27,kinematic_fab,Kinematic fabrics,,false,horizontal-compact,${kin_ind_present} = 'yes_kin',,
text,grain_shape_char,Characterize oblique grain shape fabric,E.g. what mineral(s) define the grain shape fabric,false,multiline,"selected(${kinematic_fab}, 'oblique_fabric')",,
text,asym_fold_char,Characterize asymmetric folds,"E.g. what is being folded, fold classification, etc.",false,multiline,"selected(${kinematic_fab}, 'asymm_fold')",,
text,asym_clst_char,Characterize asymmetric clast(s),E.g. what is the clast mineralogy,false,multiline,"selected(${kinematic_fab}, 'asymm_clast')",,
text,mica_fish_char,Characterize mica fish,E.g. what type of mica,false,multiline,"selected(${kinematic_fab}, 'mica_fish')",,
text,book_slip_char,Characterize bookshelf slip,E.g. what phases record bookshelf slip,false,multiline,"selected(${kinematic_fab}, 'bookshelf_slip')",,
text,s_c_char,Characterize S-C fabric,"E.g. what phases define S and C surfaces, etc.",false,multiline,"selected(${kinematic_fab}, 's_c')",,
text,riedel_char,Characterize Riedel fracture/shear,,false,multiline,"selected(${kinematic_fab}, 'riedel_shear')",,
text,sig_gash_char,Characterize sigmoidal tension gash(es),,false,multiline,"selected(${kinematic_fab}, 'sigmoidal_gash')",,
text,drag_fold_char,Characterize drag folds,E.g. what is being folded and how,false,multiline,"selected(${kinematic_fab}, 'drag_folds')",,
text,off_def_char,Characterize offset or deflected markers,E.g. what is offset and how,false,multiline,"selected(${kinematic_fab}, 'offset_deflect')",,
text,minor_off_char,Characterize minor offset,E.g. what is offset and how,false,multiline,"selected(${kinematic_fab}, 'minor_offset')",,
text,crescent_frac,Characterize crescentic fractures,,false,multiline,"selected(${kinematic_fab}, 'crescentic_fra')",,
text,slick_char,Characterize slickenfibers,"E.g. mineralogy, etc.",false,multiline,"selected(${kinematic_fab}, 'slickenfibers')",,
text,fib_grow_char,Characterize fiber growth,"E.g. mineralogy, etc.",false,multiline,"selected(${kinematic_fab}, 'fiber_growth')",,
text,goug_fill_char,Characterize gouge fill,,false,multiline,"selected(${kinematic_fab}, 'gouge_fill')",,
text,oth_char_kin,Other characterization,,false,multiline,"selected(${kinematic_fab}, 'other_kin')",,
text,sense_of_shear,Sense of shear?,"e.g. top-NW, dextral, etc.",false,multiline,${kin_ind_present} = 'yes_kin',,
text,interp,Interpretations,,false,multiline,,,
calculate,__version__,,,false,,,'vWMK6YMJe6VLDvaKGpDKzA',
calculate,_version_,,,,,,'v6v98LJJJvyKdpEWqTtP5J',__version__
