type,name,label,hint,required,appearance,relevant,calculation,$given_name
text,porphyroclast,Characterize porphyroclastic fabric,"E.g. size, shape, composition, of porphyroclasts",false,multiline,"selected(${other_met_fab}, 'porphyroclast')",,
text,porphyroblast,Characterize porphyroblastic fabric,"E.g. size, shape, composition, of porphyroblasts",false,multiline,"selected(${other_met_fab}, 'porphyroblast')",,
text,poikiloblastic,Characterize poikiloblastic fabric,"E.g. size, shape, composition, of porphyroblast(s) and mineral inclusions",false,multiline,"selected(${other_met_fab}, 'poikiloblast')",,
text,other_fab_char,Other characterization,Characterize other metamorphic fabric,false,multiline,"selected(${other_met_fab}, 'other_met_fab')",,
select_multiple io9by25,additional_fab,Additional fabric(s) at this spot?,Does this spot contain additional fabrics?,false,horizontal-compact,,,
select_multiple lg33p50,structural_fab,Structural fabric(s),,false,horizontal-compact,"selected(${additional_fab}, 'structural')",,
text,char_folding,Characterize folding,,false,multiline,"selected(${structural_fab}, 'folding')",,
text,char_fracture,Characterize fractures,,false,multiline,"selected(${structural_fab}, 'fractures')",,
text,char_fault,Characterize fault(s),,false,multiline,"selected(${structural_fab}, 'fault')",,
text,char_env_surf,Characterize enveloping surface,,false,multiline,"selected(${structural_fab}, 'envelop_surf')",,
text,char_sz,Characterize shear zone,,false,multiline,"selected(${structural_fab}, 'shear_zone')",,
text,other_char_str,Other structural fabric characterization,,false,multiline,"selected(${structural_fab}, 'other_str_fab')",,
select_one fk2vt22,mullion_type,Type of mullion,,false,horizontal-compact,"selected(${structural_fab}, 'mullions')",,
text,other_mullion,Characterize other mullion,,false,multiline,${mullion_type} = 'other_mul',,
select_one zb5mg25,boudin_type,Type of boudin,,false,horizontal-compact,"selected(${structural_fab}, 'boudinage')",,
text,other_boudin,Characterize other boudin,,false,multiline,${boudin_type} = 'other_boudin',,
select_multiple sh7va84,relict_sed_fab,Relict sedimentary type,,false,horizontal-compact,"selected(${additional_fab}, 'relict_sed')",,
text,other_dep_ft,Other characterization,,false,multiline,"selected(${relict_sed_fab}, 'other_sed')",,
select_one jy6bn49,vein_array,Single vein(s) or vein array?,,false,,"selected(${additional_fab}, 'vein_vein_arra')",,
text,other_char_vein,Other characterization,Characterize veining:,false,multiline,${vein_array} = 'other_vein',,
text,vein_min,Mineral(s) that define vein,,false,multiline,${vein_array} = 'single_vein',,
text,char_vein,Vein characterization,Characterize veining:,false,multiline,${vein_array} = 'single_vein',,
text,vein_array_min,Mineral(s) that define vein array,,false,multiline,${vein_array} = 'vein_array',,
text,char_vein_array,Vein array characterization,Characterize vein array:,false,multiline,${vein_array} = 'vein_array',,
text,other_char_alter,Describe the alteration zone,Spatial variability and extent? Thickness? Appearance?,false,multiline,"selected(${additional_fab}, 'alter_zone')",,
text,alter_zone_min,Mineral(s) that define alteration zone,Add minerals in the alteration zone,false,multiline,"selected(${additional_fab}, 'alter_zone')",,
text,other_char_fab,Other fabric characterization,,false,multiline,"selected(${additional_fab}, 'other')",,
select_one ge6og85,kinematic_ind,Kinematic indicators present?,,false,,,,
select_multiple lw8uh27,kinematic_fab,Kinematic fabrics,,false,horizontal-compact,${kinematic_ind} = 'kin_yes',,
text,ob_grain_char,Characterize oblique grain shape fabric,E.g. what mineral(s) define the grain shape fabric?,false,multiline,"selected(${kinematic_fab}, 'oblique_fabric')",,
text,asym_fold_char,Characterize asymmetric folds,"E.g. what is being folded, fold classification, etc.",false,multiline,"selected(${kinematic_fab}, 'asymm_fold')",,
text,asym_clst_char,Characterize asymmetric clast(s),E.g. what is the clast mineralogy,false,multiline,"selected(${kinematic_fab}, 'asymm_clast')",,
text,mica_fish_char,Characterize mica fish,E.g. what type of mica,false,multiline,"selected(${kinematic_fab}, 'mica_fish')",,
text,book_slip_char,Characterize bookshelf slip,E.g. what phases record bookshelf slip,false,multiline,"selected(${kinematic_fab}, 'bookshelf_slip')",,
text,s_c_char,Characterize S-C fabric,"E.g. what phases define S and C surfaces, etc.",false,multiline,"selected(${kinematic_fab}, 's_c')",,
text,riedel_char,Characterize Riedel fracture/shear,,false,multiline,"selected(${kinematic_fab}, 'riedel_shear')",,
text,sig_gash_char,Characterize sigmoidal tension gash(es),,false,multiline,"selected(${kinematic_fab}, 'sigmoidal_gash')",,
text,drag_fold_char,Characterize drag folds,E.g. what is being folded and along what structure,false,multiline,"selected(${kinematic_fab}, 'drag_folds')",,
text,off_def_mark,Characterize offset or deflected marker,E.g. what is offset and how?,false,multiline,"selected(${kinematic_fab}, 'offset_deflect')",,
text,minor_off,Characterize minor offset,E.g. what is offset and how?,false,multiline,"selected(${kinematic_fab}, 'minor_offset')",,
text,crescent_char,Characterize crescentic fractures,,false,multiline,"selected(${kinematic_fab}, 'crescent_frac')",,
text,slick_char,Characterize slickenfibers,"E.g. mineralogy, etc.",false,multiline,"selected(${kinematic_fab}, 'slickenfiber')",,
text,fib_grow_char,Characterize fiber growth,"E.g. mineralogy, etc.",false,multiline,"selected(${kinematic_fab}, 'fiber_growth')",,
text,goug_fill_char,Characterize gouge fill,,false,multiline,"selected(${kinematic_fab}, 'gouge_fill')",,
text,other_char_kin,Other indicator characterization,,false,multiline,"selected(${kinematic_fab}, 'other_kin')",,
text,sense_of_shear,Sense of shear?,"e.g. top-NW, dextral, etc.",false,multiline,${kinematic_ind} = 'kin_yes',,
select_one au84l98,tectonite_type,Tectonite classification,,false,horizontal-compact,,,
text,other_char_tec,Other tectonite characterization,Characterize the tectonite:,false,multiline,${tectonite_type} = 'other_tec',,
text,p_t_d_history,P-T-d history,,false,multiline,,,
text,interp_note_meta,Interpretations and notes,,false,multiline,,,
calculate,__version__,,,false,,,'vWMK6YMJe6VLDvaKGpDKzA',
calculate,_version_,,,,,,'v4FCMfhY9QxWp8tjqhibVY',__version__
