type,name,label,required,relevant,calculation
text,Sigmoidal_cross_bed_dip_dip_direction,Sigmoidal cross bed orientation (dip & dip direction),false,"selected(${Type}, 'sigmoidal')",
text,Tidal_bundle_height,Tidal bundle height,false,"selected(${Type}, 'tidal_bundle')",
text,Tidal_bundle_length,Tidal bundle length,false,"selected(${Type}, 'tidal_bundle')",
text,Tidal_bundle_cross_b_dip_dip_direction,Tidal bundle cross bed orientation (dip & dip direction),false,"selected(${Type}, 'tidal_bundle')",
text,Rhythmic_scale_orien_on_in_cross_bedding,Rhythmic scale/orientation (in cross bedding?),false,"selected(${Type}, 'rhythmic')",
text,Bi_directional_asymmetric_height,Bi-directional asymmetric height,false,"selected(${Type}, 'bi_directional')",
text,Bi_directional_asymmetric_wavelength,Bi-directional asymmetric wavelength,false,"selected(${Type}, 'bi_directional')",
text,Pinstripe_thickness,Pinstripe thickness,false,"selected(${Type}, 'pinstripe')",
text,Mud_drape_thickness,Mud drape thickness,false,"selected(${Type}, 'mud_drape')",
text,Other_scale_orientation,Other scale/orientation,false,"selected(${Type}, 'other')",
select_multiple cs0rc13,Bedding_Plane_Features,Bedding plane features,false,,
text,Other_001,Other,false,"selected(${Bedding_Plane_Features}, 'other')",
text,Sole_marks_length,Sole marks length,false,"selected(${Bedding_Plane_Features}, 'sole_marks')",
text,Sole_marks_width,Sole marks width,false,"selected(${Bedding_Plane_Features}, 'sole_marks')",
text,Sole_marks_orientation_plunge_trend,Sole marks orientation (plunge & trend),false,"selected(${Bedding_Plane_Features}, 'sole_marks')",
text,Flute_cast_length,Flute cast length,false,"selected(${Bedding_Plane_Features}, 'flute_cast')",
text,Flute_cast_width,Flute cast width,false,"selected(${Bedding_Plane_Features}, 'flute_cast')",
text,Flute_cast_orientation_plunge_trend,Flute cast orientation (plunge & trend),false,"selected(${Bedding_Plane_Features}, 'flute_cast')",
text,Groove_cast_length,Groove cast length,false,"selected(${Bedding_Plane_Features}, 'groove_cast')",
text,Groove_cast_width,Groove cast width,false,"selected(${Bedding_Plane_Features}, 'groove_cast')",
text,Groove_cast_orientation_plunge_trend,Groove cast orientation (plunge & trend),false,"selected(${Bedding_Plane_Features}, 'groove_cast')",
text,Tool_marks_length,Tool marks length,false,"selected(${Bedding_Plane_Features}, 'tool_marks')",
text,Tool_marks_width,Tool marks width,false,"selected(${Bedding_Plane_Features}, 'tool_marks')",
text,Gutter_cast_length,Gutter cast length,false,"selected(${Bedding_Plane_Features}, 'gutter_cast')",
text,Gutter_cast_width,Gutter cast width,false,"selected(${Bedding_Plane_Features}, 'gutter_cast')",
text,Gutter_cast_orientation_azimuth_0_360,"Gutter cast orientation (azimuth, 0-360)",false,"selected(${Bedding_Plane_Features}, 'gutter_cast')",
text,Load_cast_height,Load cast height,false,"selected(${Bedding_Plane_Features}, 'load_cast')",
text,Mudcracks_height,Mudcracks height,false,"selected(${Bedding_Plane_Features}, 'mudcracks')",
text,Mudcracks_maximum_width,Mudcracks maximum width,false,"selected(${Bedding_Plane_Features}, 'mudcracks')",
text,Syneresis_cracks_length,Syneresis cracks length,false,"selected(${Bedding_Plane_Features}, 'syneresis_crac')",
text,Syneresis_cracks_maximum_width,Syneresis cracks maximum width,false,"selected(${Bedding_Plane_Features}, 'syneresis_crac')",
select_multiple bd2tc58,Bedform_type,Bedform type,false,"selected(${Bedding_Plane_Features}, 'bedforms')",
text,Other_002,Other,false,"selected(${Bedform_type}, 'other')",
text,Crest_orientation_Azimuth_0_360,"Crest orientation (Azimuth, 0-360)",false,"selected(${Bedding_Plane_Features}, 'bedforms')",
text,Wave_ripple_crest_or_tion_azimuth_0_360,"Wave ripple crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, 'wave_ripples')",
text,Current_ripple_crest_tion_azimuth_0_360,"Current ripple crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, 'current_ripples')",
text,Dunes_crest_orientation_azimuth_0_360,"Dunes crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, 'dunes')",
text,Antidunes_crest_orie_tion_azimuth_0_360,"Antidunes crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, 'antidunes')",
text,_2D_Crests_crest_orie_tion_azimuth_0_360,"2D Crests crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, '2d_crests')",
text,_3D_Crests_crest_orie_tion_azimuth_0_360,"3D Crests crest orientation (azimuth, 0-360)",false,"selected(${Bedform_type}, '3d_crests')",
select_multiple aj0xd06,Deformation_Structures,Deformation Structures,false,,
text,Other_003,Other,false,"selected(${Deformation_Structures}, 'other')",
end_group,,,,,
select_one we8cl09,Add_Biogenic_Structures,Add Biogenic Structures,false,,
begin_group,group_mf01z56,Biogenic Structures,,${Add_Biogenic_Structures} = 'yes',
select_one tj0kn57,Bioturbation,Burrowing?,false,,
select_one ny3eb23,Bioturbation_Index,Bioturbation Index,false,${Bioturbation} = 'yes',
select_one bp1qw24,Diversity,Diversity,false,${Bioturbation} = 'yes',
select_one qa4vg03,Descriptive,Descriptive,false,${Bioturbation} = 'yes',
text,Other_004,Other,false,${Descriptive} = 'other',
select_multiple yb2wj13,Burrow_fill_type,Burrow fill type,false,${Bioturbation} = 'yes',
text,Other_005,Other,false,"selected(${Burrow_fill_type}, 'other')",
select_one fu9zy74,Behavioral_grouping,Behavioral grouping,false,${Bioturbation} = 'yes',
text,Other_006,Other,false,${Behavioral_grouping} = 'other',
select_one xn91l41,Ichnofacies,Ichnofacies,false,${Bioturbation} = 'yes',
text,List_of_specific_types,List of specific types,false,${Bioturbation} = 'yes',
select_one jf5zf51,Biogenic_growth_structures,Biogenic growth structures?,false,,
select_one cj5tu73,Dominant_component,Dominant component,false,${Biogenic_growth_structures} = 'yes',
text,Other_007,Other,false,${Dominant_component} = 'other',
select_multiple vl19n89,Microbial_reef_or_skelatal_mic,Microbial reef or skelatal microbial reef,false,${Dominant_component} = 'skeletal_micro' or ${Dominant_component} = 'microbial_reef',
text,Other_008,Other,false,"selected(${Microbial_reef_or_skelatal_mic}, 'other')",
text,Other_009,Other,false,"selected(${Mud_mound}, 'other')",
select_multiple qt9pb22,Skeletal_Fossil,Skeletal fossil,false,,
text,Other_010,Other,false,"selected(${Skeletal_Fossil}, 'other')",
select_multiple xg73d31,mollusca,Mollusca,false,"selected(${Skeletal_Fossil}, 'mollusca')",
text,Other_011,Other,false,"selected(${mollusca}, 'other')",
select_multiple ez9qn01,arthropoda,Arthropoda,false,"selected(${Skeletal_Fossil}, 'arthropoda')",
text,Other_012,Other,false,"selected(${arthropoda}, 'other')",
select_multiple wr57l51,echinodermata,Echinodermata,false,"selected(${Skeletal_Fossil}, 'echinodermata')",
text,Other_013,Other,false,"selected(${echinodermata}, 'other')",
select_multiple mx9kl50,cnidaria,Cnidaria,false,"selected(${Skeletal_Fossil}, 'cnidaria')",
text,Other_014,Other,false,"selected(${cnidaria}, 'other')",
select_multiple sf15j48,chordata,Chordata,false,"selected(${Skeletal_Fossil}, 'chordata')",
text,Other_015,Other,false,"selected(${chordata}, 'other')",
select_multiple yp6he07,plant_algae,Plant/algae,false,"selected(${Skeletal_Fossil}, 'plant_algae')",
text,Other_016,Other,false,"selected(${plant_algae}, 'other')",
select_multiple yg3rh07,protista,Protista,false,"selected(${Skeletal_Fossil}, 'protista')",
text,Other_017,Other,false,"selected(${protista}, 'other')",
select_multiple oh1xa40,calcimicrobe,Calcimicrobe,false,"selected(${Skeletal_Fossil}, 'calcimicrobe')",
text,Other_018,Other,false,"selected(${calcimicrobe}, 'other')",
select_one rs3py25,Faunal_assemblage,Faunal assemblage,false,,
select_multiple vb0ao86,Mud_mound,Mud mound,false,${Dominant_component} = 'mud_mound',
begin_group,group_pb6eh87,Scale Orientation,,${Biogenic_growth_structures} = 'yes',
text,Height,Height,false,${Biogenic_growth_structures} = 'yes',
text,Width,Width,false,${Biogenic_growth_structures} = 'yes',
text,Orientation_if_elongate_azimuth,"Orientation (if elongate, azimuth)",false,${Biogenic_growth_structures} = 'yes',
select_one oh76z01,Shape,Shape,false,${Biogenic_growth_structures} = 'yes',
select_one uc1je36,Type_001,Type,false,${Biogenic_growth_structures} = 'yes',
text,Other_019,Other,false,${Type_001} = 'other',
select_multiple af3pl79,Accessory_structures,Accessory structures,false,${Biogenic_growth_structures} = 'yes',
text,Other_020,Other,false,"selected(${Accessory_structures}, 'other')",
end_group,,,,,
end_group,,,,,
select_one zk0mz63,Add_Chemogenic_Structure,Add Chemogenic Structure,false,,
begin_group,group_kr8lv01,Chemogenic Structures,,${Add_Chemogenic_Structure} = 'yes',
select_multiple hl0ml08,Chemogenic_Structures_Type,Type,false,,
text,Other_021,Other,false,"selected(${Chemogenic_Structures_Type}, 'other')",
select_multiple yh9fg32,Cement_composition,Cement composition,false,"selected(${Chemogenic_Structures_Type}, 'cements')",
text,Other_022,Other,false,"selected(${Cement_composition}, 'other')",
select_multiple jp0wh38,Cement_texture,Cement texture,false,"selected(${Chemogenic_Structures_Type}, 'cements')",
text,Other_023,Other,false,"selected(${Cement_texture}, 'other')",
select_multiple hl0ww19,nodules_concretions_compositio,nodules/concretions composition,false,"selected(${Chemogenic_Structures_Type}, 'nodules_concre')",
text,Other_024,Other,false,"selected(${nodules_concretions_compositio}, 'other')",
select_multiple zb73n93,nodules_concretions_shape,Nodules/concretions shape,false,"selected(${Chemogenic_Structures_Type}, 'nodules_concre')",
text,Other_025,Other,false,"selected(${nodules_concretions_shape}, 'other')",
text,Nodules_concretions_size,Nodules/concretions size,false,"selected(${Chemogenic_Structures_Type}, 'nodules_concre')",
text,Nodules_concretions_cing_min_max_mean,"Nodules/concretions spacing (min, max, mean)",false,"selected(${Chemogenic_Structures_Type}, 'nodules_concre')",
text,Stylolite_thickness,Stylolite thickness ,false,"selected(${Chemogenic_Structures_Type}, 'stylolites')",
text,Stylolite_orientatio_dip_dip_direction,Stylolite orientation (dip & dip direction),false,"selected(${Chemogenic_Structures_Type}, 'stylolites')",
text,Fault_orientation_dip_dip_direction,Fault orientation (dip & dip direction),false,"selected(${Chemogenic_Structures_Type}, 'fault')",
text,Vein_width,Vein width,false,"selected(${Chemogenic_Structures_Type}, 'veins')",
text,Vein_length,Vein length,false,"selected(${Chemogenic_Structures_Type}, 'veins')",
text,Vein_composition,Vein composition,false,"selected(${Chemogenic_Structures_Type}, 'veins')",
text,Vug_size_minimum_di_meter_mean_diameter,"Vug size (minimum diameter, maximum diameter, mean diameter)",false,"selected(${Chemogenic_Structures_Type}, 'vugs')",
integer,Vug_abundance_,Vug abundance (%),false,"selected(${Chemogenic_Structures_Type}, 'vugs')",
select_multiple st8ub31,Carbonate_desiccation_and_diss,Carbonate desiccation and dissolution structures,false,,
text,Other_026,Other,false,"selected(${Carbonate_desiccation_and_diss}, 'other')",
begin_group,group_fn8sm12,Carbonate porosity type,,,
select_multiple lo0dl30,Fabric_selective,Fabric selective,false,,
text,Other_027,Other,false,"selected(${Fabric_selective}, 'other')",
select_multiple ts4kt62,Non_selective,Non-selective,false,,
text,Other_028,Other,false,"selected(${Non_selective}, 'other')",
end_group,,,,,
end_group,,,,,
select_one ls9ch15,Add_Pedogenic_Structures,Add Pedogenic Structures,false,,
begin_group,group_ck6ux23,Pedogenic Structures,,${Add_Pedogenic_Structures} = 'yes',
select_multiple da8ok49,Paleosol_horizons,Paleosol horizons,false,,
text,Other_029,Other,false,"selected(${Paleosol_horizons}, 'other')",
select_multiple lg4oy98,Paleosol_structures,Paleosol structures,false,,
text,Other_030,Other,false,"selected(${Paleosol_structures}, 'other')",
text,Additional_modifiers,Additional modifiers,false,,
select_multiple mw8xp09,Paleosol_classification,Paleosol classification,false,,
end_group,,,,,
calculate,__version__,,,,'vejn9eBQA6ieiD9KVonmG5'
