type,name,label,hint,required,relevant,appearance,constraint_message,constraint,calculation,$given_name
select_multiple xw5wu12,epoch_paleogene,Epoch Paleogene,,false,"selected(${period_cenozoic}, 'paleogene')",horizontal,,,,
select_multiple lb3hh59,age_oligocene,Age Oligocene,,false,"selected(${epoch_paleogene}, 'oligocene')",horizontal,,,,
select_multiple lb3hh60,age_eocene,Age Eocene,,false,"selected(${epoch_paleogene}, 'eocene')",horizontal,,,,
select_multiple lb3hh61,age_paleocene,Age Paleocene,,false,"selected(${epoch_paleogene}, 'paleocene')",horizontal,,,,
select_multiple xw5wu08,epoch_tertiary,Epoch Teritary,,false,"selected(${period_cenozoic}, 'tertiary')",horizontal,,,,
select_multiple lb3hh51,period_mesozoic,Period Mesozoic,Specific geologic time period,false,"selected(${era_phanerozoic}, 'mesozoic')",horizontal,,,,
select_multiple lb3hh52,period_paleozoic,Period Paleozoic,Specific geologic time period,false,"selected(${era_phanerozoic}, 'paleozoic')",horizontal,,,,
select_multiple oa8wg40,era_proterozoic,Era Proterozoic,,false,"selected(${eon}, 'proterozoic')",horizontal,,,,
select_multiple lb3hh53,period_neoproterozoic,Period Neoproterozoic,Specific geologic time period,false,"selected(${era_proterozoic}, 'neoproterozoic')",horizontal,,,,
select_multiple lb3hh54,period_mesoproterozoic,Period Mesoproterozoic,Specific geologic time period,false,"selected(${era_proterozoic}, 'mesoproterozoi')",horizontal,,,,
select_multiple lb3hh55,period_paleoproterozoic,Period Paleoproterozoic,Specific geologic time period,false,"selected(${era_proterozoic}, 'paleoproterozo')",horizontal,,,,
select_multiple kb2cc45,era_archean,Era Archean,,false,"selected(${eon}, 'archean')",horizontal,,,,
select_multiple lb3hh82,age_cretaceous,Age Cretaceous,,false,"selected(${period_mesozoic}, 'cretaceous')",horizontal,,,,
select_multiple lb3hh83,age_jurassic,Age Jurassic,,false,"selected(${period_mesozoic}, 'jurassic')",horizontal,,,,
select_multiple lb3hh84,age_triassic,Age Triassic,,false,"selected(${period_mesozoic}, 'triassic')",horizontal,,,,
select_multiple lb3hh85,age_permian,Age Permian,,false,"selected(${period_paleozoic}, 'permian')",horizontal,,,,
select_multiple xw5wu86,age_carboniferous,Age Carboniferous,,false,"selected(${period_paleozoic}, 'carboniferous')",horizontal,,,,
select_multiple xw5wu87,age_pennsylvania,Age Pennsylvania,,false,"selected(${period_paleozoic}, 'pennsylvanian')",horizontal,,,,
select_multiple xw5wu88,age_mississippian,Age Mississippian,,false,"selected(${period_paleozoic}, 'mississippian')",horizontal,,,,
select_multiple lb3hh87,age_devonian,Age Devonian,,false,"selected(${period_paleozoic}, 'devonian')",horizontal,,,,
select_multiple lb3hh88,age_sliurian,Age Siluran,,false,"selected(${period_paleozoic}, 'silurian')",horizontal,,,,
select_multiple lb3hh89,age_ordovician,Age Ordovician,,false,"selected(${period_paleozoic}, 'ordovician')",horizontal,,,,
select_multiple lb3hh90,age_cambrian,Age Cambrian,,false,"selected(${period_paleozoic}, 'cambrian')",horizontal,,,,
select_multiple ns6qv42,age_modifier,Age Modifier,"Age modifier to era, period or epoch",false,,horizontal-compact,,,,
end_group,,,,,,,,,,
decimal,absolute_age_of_geologic_unit,Absolute Age of Geologic Unit (Ma),,false,,,Value must be greater than 0.,. > 0,,
decimal,age_uncertainty,Age Uncertainty (Ma),,false,,,Value must be greater than 0.,. > 0,,
decimal,max_absolute_age_of_geol_unit,Maximum Absolute Age of Geologic Unit (Ma),,false,${absolute_age_of_geologic_unit} = '',,Value must be greater than 0.,. > 0,,
decimal,min_absolute_age_of_geol_unit,Minimum Absolute Age of Geologic Unit (Ma),,false,${absolute_age_of_geologic_unit} = '',,Value must be greater than 0.,. > 0,,
text,other_metamorphic_grade,Other Metamorphic Grade,metamorphic grade not given in list,false,${metamorphic_grade} = 'other',,,,,
text,description,Description,,false,,,,,,
text,notes,Notes,,false,,multiline,,,,
calculate,__version__,,,false,,,,,'vrFimdkpcJQXgiaWX9aEzu',
calculate,_version_,,,false,,,,,'vpyvbaLBTxvTvPJzWJjr5F',__version__
calculate,_version__001,,,,,,,,'vQXAWeBbZsFvoT6uhDmmxo',__version__
